resp_id,usid,fixed_set,periodic_set,military_region,province,district,village,hamlet,year,month,resp_num,sex,sex_num,security_score,security_num,question_num,response_code,blacklisted,age_num,mar_num,eth_num
101031002_710505,101031002,710505FB0,0002B,1,01,03,10,02,71,05,05,F,1,B,1,0002,B,0,30,0,1
101031003_710501,101031003,710501MB0,0002B,1,01,03,10,03,71,05,01,M,0,B,1,0002,B,0,30,2,1
101031003_710502,101031003,710502MB0,0002B,1,01,03,10,03,71,05,02,M,0,B,1,0002,B,0,30,0,1
101031003_710503,101031003,710503FB0,0002B,1,01,03,10,03,71,05,03,F,1,B,1,0002,B,0,30,0,1
101031003_710504,101031003,710504FB0,0002B,1,01,03,10,03,71,05,04,F,1,B,1,0002,B,0,30,0,1
101031003_710505,101031003,710505FB0,0002B,1,01,03,10,03,71,05,05,F,1,B,1,0002,B,0,30,1,1
101031003_710701,101031003,710701MB0,0002B,1,01,03,10,03,71,07,01,M,0,B,1,0002,B,0,30,0,1
101031003_710702,101031003,710702MB0,0002B,1,01,03,10,03,71,07,02,M,0,B,1,0002,B,0,30,0,1
101031003_710703,101031003,710703FB0,0002B,1,01,03,10,03,71,07,03,F,1,B,1,0002,B,0,30,0,1
101031003_710704,101031003,710704FB0,0002B,1,01,03,10,03,71,07,04,F,1,B,1,0002,B,0,30,0,1
101031003_710705,101031003,710705MB0,0002B,1,01,03,10,03,71,07,05,M,0,B,1,0002,B,0,30,0,1
101031005_710701,101031005,710701MB0,0002B,1,01,03,10,05,71,07,01,M,0,B,1,0002,B,0,30,0,1
101031005_710702,101031005,710702FB0,0002B,1,01,03,10,05,71,07,02,F,1,B,1,0002,B,0,30,0,1
101031005_710703,101031005,710703MB0,0002B,1,01,03,10,05,71,07,03,M,0,B,1,0002,B,0,30,2,1
101031005_710704,101031005,710704MB0,0002B,1,01,03,10,05,71,07,04,M,0,B,1,0002,B,0,30,0,1
101031005_710705,101031005,710705MB0,0002B,1,01,03,10,05,71,07,05,M,0,B,1,0002,B,0,30,0,1
101031007_710401,101031007,710401FB0,0002B,1,01,03,10,07,71,04,01,F,1,B,1,0002,B,0,30,0,1
101031007_710402,101031007,710402MB0,0002B,1,01,03,10,07,71,04,02,M,0,B,1,0002,B,0,30,0,1
101031007_710403,101031007,710403FB0,0002B,1,01,03,10,07,71,04,03,F,1,B,1,0002,B,0,30,1,1
101031007_710404,101031007,710404FB0,0002B,1,01,03,10,07,71,04,04,F,1,B,1,0002,B,0,30,2,1
101031007_710405,101031007,710405FB0,0002B,1,01,03,10,07,71,04,05,F,1,B,1,0002,B,0,30,2,1
101031009_710401,101031009,710401MA0,0002A,1,01,03,10,09,71,04,01,M,0,A,0,0002,A,0,20,0,1
101031009_710402,101031009,710402FA0,0002A,1,01,03,10,09,71,04,02,F,1,A,0,0002,A,0,20,0,1
101031009_710403,101031009,710403FA0,0002A,1,01,03,10,09,71,04,03,F,1,A,0,0002,A,0,20,0,1
101031009_710404,101031009,710404MA0,0002A,1,01,03,10,09,71,04,04,M,0,A,0,0002,A,0,20,0,1
101031009_710405,101031009,710405MA0,0002A,1,01,03,10,09,71,04,05,M,0,A,0,0002,A,0,20,0,1
101031201_720101,101031201,720101MB0,0002B,1,01,03,12,01,72,01,01,M,0,B,1,0002,B,0,30,0,1
101031201_720102,101031201,720102MB0,0002B,1,01,03,12,01,72,01,02,M,0,B,1,0002,B,0,30,0,1
101031201_720103,101031201,720103FB0,0002B,1,01,03,12,01,72,01,03,F,1,B,1,0002,B,0,30,0,1
101031201_720104,101031201,720104FB0,0002B,1,01,03,12,01,72,01,04,F,1,B,1,0002,B,0,30,0,1
