folio,hog_num_personas_o98,jefe_edad_o98,hog_num_young_o98,hog_mean_sick_o98,hog_num_schoolage_o98,hog_mean_missed_o98,hog_num_personas_n99,jefe_edad_n99,hog_num_young_n99,hog_mean_sick_n99,hog_num_schoolage_n99,hog_mean_missed_n99,hog_income_o98,jefe_ag_worker_o98,jefe_dialect_o98,jefe_nivel_esc_o98,jefe_grado_esc_o98,jefe_ms_o98,jefe_hs_o98,hog_gasto_o98,hog_gasto_n99,hog_grado_pobreza,hog_indice_pobreza,hog_contba,hog_treatment
229442,7,42,1,5,2,2,7,44,1,0,1,0,150,TRUE,2,3,1,TRUE,FALSE,150,200,5,0.39471,2,FALSE
229444,8,34,3,0,4,0,8,36,2,2,4,0,200,FALSE,2,2,4,FALSE,FALSE,200,200,5,0.39471,2,FALSE
229448,8,43,2,0,2,2.5,9,43,1,0,3,0.3333333333333333,200,TRUE,2,2,2,FALSE,FALSE,200,200,5,0.39471,2,FALSE
229453,11,38,2,0,6,2.1666666666666665,9,38,3,0,4,0,200,FALSE,2,2,2,FALSE,FALSE,200,180,5,0.39471,2,FALSE
229454,7,50,2,0,3,0,7,52,2,0,3,0,999,TRUE,2,2,1,FALSE,FALSE,9888,170,5,0.39471,2,FALSE
229458,7,33,2,2,2,0,7,34,2,1,3,0,160,TRUE,2,2,4,FALSE,FALSE,160,200,5,0.39471,2,FALSE
229459,8,46,4,0,4,0,8,47,2,0,3,0,200,TRUE,2,2,6,FALSE,FALSE,200,250,5,0.39471,2,FALSE
229467,9,39,2,2,4,0.5,9,39,1,0,4,0.5,200,TRUE,2,2,6,FALSE,FALSE,200,200,5,1.15965,2,FALSE
229473,6,33,3,1.3333333333333333,2,0,6,34,2,0,2,0,999,FALSE,2,2,5,FALSE,FALSE,9888,90,5,1.15965,2,FALSE
229487,8,44,1,0,3,0,6,44,1,0,3,0.6666666666666666,120,FALSE,2,2,6,FALSE,FALSE,120,160,5,1.15965,2,FALSE
229489,5,37,1,3,2,0,5,38,1,0,2,0,80,FALSE,2,2,2,FALSE,FALSE,80,100,5,1.15965,2,FALSE
229490,5,45,1,4,3,0,5,46,1,0,3,0,70,TRUE,2,2,6,FALSE,FALSE,70,100,5,1.15965,2,FALSE
229494,7,41,1,0,3,0,7,43,1,0,3,0,250,TRUE,2,2,4,FALSE,FALSE,250,250,5,1.15965,2,FALSE
229751,9,35,2,0,6,0,10,36,2,0,5,0,100,TRUE,2,2,2,FALSE,FALSE,100,200,5,0.3498,1,TRUE
229756,8,40,2,0,4,0,8,43,2,0,4,0,400,TRUE,2,2,2,FALSE,FALSE,400,200,5,0.3498,1,TRUE
