resp_id,urban_rural,region,ethnicity,vote
GHA0536,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0537,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0547,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0551,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0553,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0555,Rural,Eastern,Akan,National Democratic Congress (NDC)
GHA0556,Rural,Eastern,Akan,National Democratic Congress (NDC)
GHA0557,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0560,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0561,Rural,Brong-Ahafo,Ewe_Ga,New Patriotic Party (NPP)
GHA0563,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0571,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0578,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0579,Urban,Western North,Akan,National Democratic Congress (NDC)
GHA0583,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0586,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0588,Urban,Western,Akan,National Democratic Congress (NDC)
GHA0591,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0594,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0603,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0608,Urban,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0610,Urban,Western North,Akan,New Patriotic Party (NPP)
GHA0614,Rural,Central,Ewe_Ga,National Democratic Congress (NDC)
GHA0615,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0617,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0621,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0624,Urban,Western North,Akan,National Democratic Congress (NDC)
GHA0627,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0631,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0633,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0638,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0639,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0642,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0644,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA0647,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0649,Urban,Western North,Akan,New Patriotic Party (NPP)
GHA0652,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0653,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0660,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0663,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0665,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0666,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0670,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0671,Urban,Western,Ewe_Ga,National Democratic Congress (NDC)
GHA0672,Urban,Ashanti,Akan,New Patriotic Party (NPP)
