id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
491,1986,0.7895455360412598,0.8532631397247314,0.7616593241691589,"Now let me ask you about some changes in federal income taxes that are in both the Senate and House tax reform bills. For each, tell me if you favor or oppose that provision. ASK EACH ITEM AND RECORD BELOW Item: Raise the minimum tax that wealthy individuals and corporations have to pay to 20%",1
492,1986,0.6194474697113037,0.5749772191047668,0.509476900100708,"Some members of Congress now feel that political action committees (PACs) have too much power over both elections and the federal government after the elections. Therefore, they are proposing some changes in the current laws governing political contributions.  Would you favor or oppose (READ EACH ITEM)? Item: Requiring television stations to provide free air time for candidates who are attacked by their opponents in paid ads to answer back",0
493,1986,0.7896546125411987,0.8295321464538574,0.7218851447105408,"Some members of Congress now feel that political action committees (PACs) have too much power over both elections and the federal government after the elections. Therefore, they are proposing some changes in the current laws governing political contributions.  Would you favor or oppose (READ EACH ITEM)? Item: Limiting the amount that a candidate for Congress can spend to $100,000",0
494,1986,0.3819966316223144,0.3294605016708374,0.2507734298706054,"Now let me ask you about some changes in federal income taxes that are in both the Senate and House tax reform bills. For each, tell me if you favor or oppose that provision. ASK EACH ITEM AND RECORD BELOW Item: Eliminate the special deduction now allowed for two wage earners in the same family",1
495,1987,0.728187084197998,0.7474011182785034,0.6818061470985413,"Do you favor or oppose an incentive plan to stimulate private giving to the arts, under which for every $3 that an arts organization or institution raises from private sources, government would contribute $1?",0
507,1987,0.8472867608070374,0.8037388920783997,0.778917133808136,"Now let me ask you about a number of issues here at home. For each, tell me if you favor or oppose it. (READ EACH ITEM AND RECORD BELOW) Item: Not allowing costs to limit the clean up of toxic waste dumps around the country",0
516,1987,0.176791250705719,0.1838594079017639,0.2380176782608032,Negotiators from the White House and Congress are trying to come up with an agreement on both spending cuts and tax increases in order to cut the federal budget deficit by $23 billion. Tell me if you favor or oppose each of these provisions. (READ EACH ITEM) Item: Raising the income tax rate,1
517,1987,0.6917659044265747,0.7768383026123047,0.8033445477485657,Negotiators from the White House and Congress are trying to come up with an agreement on both spending cuts and tax increases in order to cut the federal budget deficit by $23 billion. Tell me if you favor or oppose each of these provisions. (READ EACH ITEM) Item: Increasing excise taxes on tobacco and alcoholic products,1
519,1987,0.2572171688079834,0.3040230274200439,0.3478295803070068,Negotiators from the White House and Congress are trying to come up with an agreement on both spending cuts and tax increases in order to cut the federal budget deficit by $23 billion. Tell me if you favor or oppose each of these provisions. (READ EACH ITEM) Item: Enacting a value added tax,0
522,1987,0.1721454858779907,0.1780948638916015,0.3749516010284424,Negotiators from the White House and Congress are trying to come up with an agreement on both spending cuts and tax increases in order to cut the federal budget deficit by $23 billion. Tell me if you favor or oppose each of these provisions. (READ EACH ITEM) Item: Raising energy taxes,1
